Public Name, Description of Data Asset,Access Level ,Exemption,Rationale Not to Release (Contains PI/PHI),Update Frequency
Registered Persons Database (RPDB) [Data Mart],"A Personal Information Bank maintained by the Health Services Division, Registration and Claims Branch of the Ministry of Health.
. It is a collection of organized personal demographic information that can be retrieved using an individual’s Health Number. The RPDB contains more than 12 million records that are updated regularly by registration activities on all persons who are registered for the purposes of Ontario health insurance coverage and the Ontario Drug benefits. OH (CCO) periodically receives an updated version of the RPDB for the purpose of linking health services data.
",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Ad hoc
"Registered Persons Database (RPDB)
[Screening Hub Stage]","Contains information on persons registered under the Ontario Health Insurance Plan (OHIP) and who are eligible for the Ontario Drug Program

",Restricted,Privacy,Yes,Daily
Sarcoma Chemotherapy (SSOIS),"This data set includes information used to monitor, fund, plan and report on the implementation of the Provincial Sarcoma Services Program. This data contains inpatient and outpatient sarcoma chemotherapy data for treatments provided at Host and Partner Sarcoma Service Sites in Ontario.",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Quarterly
Sarcoma Pathology (SSOIS),"This data set includes information used to monitor, fund, plan and report on the implementation of the Provincial Sarcoma Services Program. This data contains sarcoma pathology data for tests and reviews performed at Host and Partner Sarcoma Service Sites in Ontario. Supporting pathology services is one the three services funded by the Provincial Sarcoma Services Program. Implementation of a sarcoma oversight program ensures that patients across Ontario have appropriate and equitable access to the expertise of the Multidisciplinary Sarcoma Team and high quality clinical care.",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Quarterly
Short Term Transitional Care Model Data (STTCM),"Short Term Transitional Care Models (STTCMs) is a MOHLTC-funded Alternate Level of Care (ALC) initiative that offers patients and care providers more choices to receive the care they need outside of hospitals. OH (CCO)’s ATC team has been engaged to assist the MOHLTC in evaluating STTCMs to identify the impact these models may have on local ALC pressures and patient outcomes, design solutions to continue to reduce ALC volumes and support potential future implementation of these models. 

",Restricted,Privacy,"Data include demographic, administrative and clinical data.  Data is personal health information.  Data is subject to contractual obligations.",Quarterly
Sioux Lookout Zone Screening Activity Report (SLZ SAR),Contains information on primary care provider screening activity in the Sioux Lookout Zone area. The reports summarize client level information for providers.  Data is sourced from the Screening Integration Hub and Siebel.,Restricted,Privacy,Patient demographics,Daily
Smoking Cessation,"The Smoking Cessation entity captures and stores a set of performance metrics based on the smoking status of new Ambulatory Cancer Care patients collected at the 14 RCCs and submitted via ALR into Data Book.  The entity contains patient-level data that are used to produce smoking cessation performance indicators for multiple reports and scorecards, such as 'Tobacco Use Screening' and 'Accepted a Cessation Referral' for the Regional Performance Scorecard.",Restricted,Privacy,Data include patient's demographic and clinical data.,Monthly
Stem Cell Transplant (SSOIS),"This data set contains information about patients who were planned for and/or received hematopoietic cell therapy or Bone Marrow Transplant, also knows as Stem Cell Transplant. ",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Quarterly
Trillium Gift of Life-Renal,This dataset contains data related to renal transplant patients. The transplant data will enable monitoring and evaluation of the  Access to Kidney Transplantation and Kidney Donation strategy's goals at a provincial and local level,Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Quarterly
Wait Times Information System (WTIS)  ,"The Wait Time Information System (WTIS) is a key part of the Ontario government’s Wait Time Strategy. It is the first-ever information system to monitor, measure and publicly report wait times across the province. Originally developed for the Wait Time Strategy’s initial five key areas of care: cataract surgery, cancer surgery, cardiac surgery, hip and knee replacement surgery and MRI/CT scans, the WTIS has expanded to include all adult and pediatric surgeries. It is a single system to capture and better manage wait times in near real-time related to Alternate Level of Care (ALC), Surgery and MRI/CT Diagnostic Imaging DI wait time and efficiency data elements that facilities are required to collect and submit to the WTIS.",Restricted,Privacy,"Data include demographic and clinical data.  Data is personal health information.  Data includes other personal identifiers, name, DOB, address, sex, and is personal information.",Daily
Wait Times Information System (WTIS) - SETP,"Contains information about Operating Room (OR) performance to monitor processes, identify and analyze areas where opportunities for improvement may exist in the perioperative portion of the continuum of care. ",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Monthly
BBM (Bed Board Management) ,This dataset contains vacant bed inventory for long-term care as well as complex care and rehab placement   ,Under Review,,,
 Caregiver Voice Survey,The Caregiver Voice Survey (VOICES) is a cross-sectoral tool that gathers information about hospice palliative care patient experience by surveying their caregivers after the death of the patient. ,Restricted,Privacy, Contains personal health information.,quarterly
CHRIS (Client Health and Related Information System),"This dataset contains data related to care coordination, care planning, service provisioning, referral management, placement and billing. ",Restricted,Privacy, Contains personal health information.,real time 
CPRO (Client Profile),"This dataset contains data relating to placement activities (LTCH, Short Stay Interim, Convalescent Care, and Respite).  The dataset includes information on admissions, wait lists, closed choices, LTCH application refusals, client bed offer refusals, bed filling, bed vacancies, and priority category history.",Restricted,Privacy,Contains personal health information.,monthly
Cross Sector Database,This dataset contains the DAD (Discharge Abstract Database) and NACRS (National Ambulatory Care Reporting System) linked with HCD and the RAI-HC data for reporting purposes.,Restricted,Privacy,Contains personal health information.,quarterly
Home Care Database (HCD),"This dataset contains information on client, intake, assessment, admission, diagnostic and surgical procedure, and service delivery. ",Restricted,Privacy,Contains personal health information.,quarterly
InterRAI-CA (Contact Assessment) ,This dataset contains data to provide information to support the home care intake process.  ,Restricted,Privacy,Contains personal health information.,real time 
InterRAI-HC (Home Care),"This dataset contains data for evaluating the needs, strengths and preferences of adult long-stay individuals in the community, including individuals requesting admission to Long Term Care Homes. ",Restricted,Privacy,Contains personal health information.,real time 
InterRAI-PC (Palliative Care),"This dataset provides a comprehensive assessment of strengths, preferences and needs of adults in both hospice and palliative care. ",Restricted,Privacy,Contains personal health information.,real time 
Inter-RAI Check-Up Self Report (CUSR),The interRAI Check-Up Self Report (CUSR) is a standardized self-report assessment instrument that provides a relevant assessment for those living in the community to obtain a patient perspective on their own health and well-being.  ,Restricted,Privacy,Contains personal health information.,real time 
Inter-RAI Child and Youth Mental Health Community,"This dataset contains measures of clinical characteristics that reflect the strengths, preferences, and needs of child and youth populations who reside in the community.",Restricted,Privacy,Contains personal health information.,real time 
Inter-RAI Child and Youth Mental Health Screener,"This assessment is intended to be a complement to the Inter-RAI Child and Youth Mental Health Community. The dataset contains information that can be used to support decision making related to triaging, placement, and service utilization",Restricted,Privacy,Contains personal health information.,real time 
Donor Management Data,"Includes information collected on potential and actual organ and tissue donor in TGLN's iTransplant system, such as: donor referral, screening and medical suitability, consent, approach, test results, organ and tissue recovery and donor data and retrospective hospital chart review.",Restricted,Privacy,"Patient demographics, donor referral data, donor clinical data",real time 
"Recipient Registration, Wait List Management and Organ Allocation Data","Includes information collected in TGLN's TOTAL system on patients waiting for organ transplantation, organ allocation and matching, transplant details, post-transplant follow-up and limited donor data.",Restricted,Privacy,"Patient demographics, patient referral/consultation/disposition data, patient clinical data",real time 
Program for Reimbursing Expenses of Living Organ Donors (PRELOD) Data,"Includes information on patients applying for reimbursement of expenses related to living organ donation to determine eligibility and grant amount in accordance with program criteria.  Data includes patient demographics, transplant program appointment information and expense claims pertaining to meals, accommodation, travel and loss of income, etc. ",Restricted,Privacy,"Patient demographics, patient clinical data, patient financial data",real time 
Transplant Patient Expense Reimbursement Program (TPER) Data,"Includes information on eligible patients who require assistance in alleviating the financial burden while waiting for heart, heart-lung, lung or small bowel transplantation who are required by the transplant hospital to relocate within reasonable proximity of the transplant hospital to be waitlisted and/or to obtain post-transplant surgery discharge care.",Restricted,Privacy,"Patient demographics, patient clinical data, patient financial data",real time 
Hospital Mortality Lists for Routine Notification Rate,Includes information on patient deaths from 87 Ontario Hospitals reporting on Routine Notification Rate. This data is used for Public Reporting of Routine Notification Rate.,Restricted,Privacy,"Patient demographics, patient clinical data",monthly
Registered Persons,Includes information on Ontario Health Card holders who have newly registered/un-registered their wish to donate organs and tissues.  This data is used to report on donor registration rates.,Restricted,Privacy,"Demographic information, donation registration information",monthly
Living Donor Candidate Data,Includes information on people who initiate contact with an Ontario Living Donor Program to express interest in being a living organ donor and includes demographic information on the living donor candidate and the recipient they are interested in donating to.,Restricted,Privacy,"Patient demographics, patient clinical data",quarterly
CorHealth Cardiac Registry,"The CorHealth Cardiac Registry includes patient level information, including personal health information, on acute cardiac procedures performed in Ontario. Data is used to monitor and manage the health status of patients who are waiting to access advanced cardiac services, and for service evaluation and planning to improve the provision of cardiac and vascular services in the province, including cardiac surgery wait times, procedural volumes, funding policy, and risk-adjusted outcomes via linkage with other data sources.",Restricted,Privacy,"Patient demographics; Patient contact information; Referral and Consultation data; Healthcare Porvicder Data; Patient clinical data e.g., diagnostic test results, comorbidities; Patient treatment information",real time 
Clerkship Travel Program Solution,"Program administration data for the Clerkship travel program, including all necessary information to pay eligible medical students to complete clerkships around the province.",Restricted,Privacy,Yes (PI - health professional information),Daily
Emergency Department Locum Program Shift Scheduler,"Program administration data for the Emergency Department Locum Program, including participating hospital data, physician contract data and scheduling information.",Restricted,Privacy,Yes (PI - health professional information),Daily
HFOJobs.ca,"Health professional job board data containing employer information, vacancies, job posting details, as well as health professional job seeker data.",Restricted,Privacy,Yes (PI - health professional information),Daily
Northern Specialist Locum Program Solution,"Program administration for the Northern Specialist Locum Programs, including participating hospitals eligibility data, utilization and vacancy data, and locum physician data for the purpose of managing eligibility and issuing payments.",Restricted,Privacy,Yes (PI - health professional information),Daily
Rural Family Medicine Locum Program Solution,"Program administration data for the Rural Family Medicine Locum Program, including community eligibility information, physician complement data and locum physician data for the purpose managing eligibility and issuing payments.",Restricted,Privacy,Yes (PI - health professional information),Daily
Sales Cloud Lightning CRM Enterprise,"Health professional client data and program administration data for internationally educated health professional career support service, Practice Ontario transition into practice support, the PSW return of service program and the Community Commitment Program for Nurses",Restricted,Privacy,Yes (PI - health professional information),Daily
Telederm,"Data set includes Referral and Consultation data, case details
",Restricted,Privacy,Referral and Consultation data; ,"weekly, monthly, quarterly"
eConsult Survey,"Answers provided by HCP at time of case closure. Used to calculate originally contemplated referrals that were avoided 
",Restricted,Privacy,Referral and Consultation data; ,monthly
eConsult,"Referral and Consultation data, Case details",Restricted,Privacy,Referral and Consultation data;,"weekly, monthly, quarterly"
EAPC (Enhanced Access to Primary Care),"Health care providers information
",Restricted,Privacy,HCP data,
OVCC (Ontario Virtual Care Clinic),"Health care provider information
",Under Review,,HCP data,
Virtual Video Visits,"Data includes patient location (system) and HCP location, HCP information, event details as time, duration, TAC (therapeutic area of care)
",Restricted,Privacy,"HCP data, Patient age group (not mandatory)","on demand, monthly, quarterly"
Telehomecare,"To report on Telehome care program activity
",Restricted,Privacy,Patient demographics; Referral and Consultation data; Patient contact information; Patient clinical data; Patient treatment information;,"monthly, quarterly"
iCBT (Internet-Based Cognitive Behavioral Therapy),"Mandatory: OH corporate SC, MOH reporting, Virtual Care Dashboard",Restricted,Privacy,Referral and Consultation data; Patient clinical data; Patient treatment information;,"weekly, monthly "
Pexip log,"Log has all records related to a physical connection/call such as time, location, IP address, duration of connection, type of event, IP address, etc.
",Restricted,Privacy,Patient location,semi-annualy 
Acute and Community Clinical Data ,"The Acute and Community Clinical Data reside in the Acute and Community Clinical Data Repository (acCDR)  -  a centralized repository of clinical events/reports captured in real time  from hospitals and home and community care organizations across Ontario, including information about hospital visits by patients, emergency room reports, consultation reports and discharge summaries, as well as long-term care placement details, risk assessments and care plans. 
",Restricted,Privacy,Clinical documents associated with patient care encounters indexed by MRN.,real time 
Patient Consent Directives,"The provincial consent management solution enables the uniform enforcement of privacy consent directives for most digital health services transactions. If a consent directive blocking a specific provider’s access to a client’s information is declared, integration with CMTA allows this directive to be enforced across all identities a provider may be using to access supported provincial assets (DHDR, DI CS,OLIS) and a different consent repository for acCDR consent directives.
",Restricted,Privacy,"HCN & patient demograpics, provider identifiers.",on demand
Diagnostic Imaging Reports ,"An XDS central storage of all diagnostic imaging data contributed by hospitals and (some) IHF's for the following imaging modalities, (CT, MRI, Ultrasound, Nuclear Medicine, General X-ray, Mammography and BMD's).  This includes DI reports and image manifests that locate the imaging studies to view.    
 
",Restricted,Privacy,"Patient ID (HCN & MRN), Provider ID, Diagnostic Reports ",real time 
Ontario (paid) Drug  & Narcotics data,DHDR: A clinical repository that provides health care providers with drug and pharmacy service information (related to ODB recipients (i.e. Ontario Paid) and Narcotic DINs and COVID vaccine info only) to enable the Best Possible Medication History for a patient. ,Restricted,Privacy," HCN, dispensed date, name, strength, dosage form, quantity and estimated days’ supply of drugs;
pharmacy service : service date, a description of the service and the pharmacy information",real time 
Vaccine and Immunization Repository ,"The provincial DHIR is a centralized repository of standardized electronic immunization data which forms the foundation of a broader interoperable ecosystem for immunization data in Ontario. 
",Restricted,Privacy,"Yes, Contains PHI",real time 
Health Care Client Demographic data,"The definitive source for a health care client (patient)  identity supporting the EHR; facilitating the unique and reliable identification of individual patients clients and others who receive care in Ontario, across the acute and community disciplines in the health care sector. It contains patient identity data, including demographic and unique identification data, from various data sources; where the combined records provide a longitudinal view of the patient's health care experience across multiple acute and community based care organizations.

",Restricted,Privacy,Contains personal health information.,real time 
Health Care Provider Credential data (Organizations and Persons),"The Provincial Provider Registry (PPR) is the centralized, provincial, authoritative EHR source of information for healthcare provider persons and organizations. This includes identity data, including health care service delivery locations  facilitates the unique and accurate identification of regulated provider persons and organizations that provide health services in Ontario, or who participate in the collection, use, or disclosure of personal health information across the continuum of care. ",Restricted,Privacy,"Provider Gender; DOB (not all); licence number; work locations; licence information (status, licence, specialties etc). 
Contact information.
All collected for business purposes",weekly
EHR Transaction Metadata,"The Transaction HistOry Registry (THOR) is  intended to be the core system that facilitates EHR logging/auditing of access by providers and clients in the province by centrally collecting transaction metadata, audit and logging information. Transactional data can be used for reporting; monitoring; trending.",Restricted,Privacy,"Yes, message content from all request/response interactions with EHR.",real time 
Driver Medical Review Documents,The ObjectStore enables healthcare providers to electronically submit  Driver Medical Review (DMR) forms from  primary care to the MTO. ,Restricted,Privacy,Filled DMR form with clincal review assesssments,real time 
